Verse Key,Book ID,Chapter,Verse,Translation 1,Translation 2,Similarity,Text 1,Text 2
JOB_001_001,JOB,1,1,Bible in Basic English,World English Bible,0.9,"There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.","There was a man in the land of Uz, whose name was Job. That man was blameless and upright, and one who feared God, and turned away from evil.
"
JOB_001_001,JOB,1,1,American Standard Version (1901),Bible in Basic English,0.91,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil."
JOB_001_001,JOB,1,1,American Standard Version (1901),Darby Bible,0.97,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Uz whose name was Job; and this man was perfect and upright, and one that feared God and abstained from evil."
JOB_001_001,JOB,1,1,American Standard Version (1901),Douay-Rheims 1899 American Edition,0.92,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Hus, whose name was Job, and that man was simple and upright, and fearing God, and avoiding evil."
JOB_001_001,JOB,1,1,American Standard Version (1901),King James Version,0.97,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Uz, whose name
was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.
"
JOB_001_001,JOB,1,1,American Standard Version (1901),World English Bible,0.91,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Uz, whose name was Job. That man was blameless and upright, and one who feared God, and turned away from evil.
"
JOB_001_001,JOB,1,1,American Standard Version (1901),"World English Bible, British Edition",0.91,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and turned away from evil.","There was a man in the land of Uz, whose name was Job. That man was blameless
and upright, and one who feared God, and turned away from evil.
"
JOB_001_001,JOB,1,1,Bible in Basic English,Darby Bible,0.9,"There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.","There was a man in the land of Uz whose name was Job; and this man was perfect and upright, and one that feared God and abstained from evil."
JOB_001_001,JOB,1,1,Bible in Basic English,Douay-Rheims 1899 American Edition,0.92,"There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.","There was a man in the land of Hus, whose name was Job, and that man was simple and upright, and fearing God, and avoiding evil."
JOB_001_001,JOB,1,1,Bible in Basic English,King James Version,0.91,"There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.","There was a man in the land of Uz, whose name
was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.
"
